Stereotype_State,Category,Attribute,Stereotype_Votes,Not_Stereotype_Votes,Not_Sure_Votes,Average_Offensiveness
Uttar Pradesh,Personality,caste-based voting,1,2,0,2.00
Uttar Pradesh,Personality,hardworking,3,0,0,4.33
Uttar Pradesh,Personality,loud,3,0,0,4.33
Uttar Pradesh,Personality,overly devout Muslims,1,2,0,2.00
Uttar Pradesh,Personality,power struggles,1,2,0,2.00
Uttar Pradesh,Personality,rigid gender roles,1,2,0,2.00
Uttar Pradesh,Personality,social hierarchies,2,1,0,3.50
Uttar Pradesh,Personality,strong focus on Hindi literature,1,2,0,2.00
Uttar Pradesh,Personality,women confined to domestic duties,2,1,0,4.50
Uttar Pradesh,Physical Appearance,Bullock carts,1,2,0,4.00
Uttar Pradesh,Physical Appearance,Darker skin tone,1,2,0,3.00
Uttar Pradesh,Physical Appearance,Men with mustaches,1,2,0,2.00
Uttar Pradesh,Physical Appearance,Rural aesthetic,1,2,0,4.00
Uttar Pradesh,Physical Appearance,Strong,1,2,0,3.00
Uttar Pradesh,Physical Appearance,Traditional appearance,1,2,0,2.00
Uttar Pradesh,Physical Appearance,barefoot villagers,1,2,0,4.00
Uttar Pradesh,Physical Appearance,long black braided hair,1,2,0,3.00
Uttar Pradesh,Physical Appearance,rural men wearing gamcha,1,2,0,2.00
Uttar Pradesh,Physical Appearance,simple village life,1,2,0,4.00
Uttar Pradesh,Physical Appearance,stocky build,1,2,0,3.00
Uttar Pradesh,Physical Appearance,women with bindi,1,2,0,2.00
Uttar Pradesh,Work and Jobs,Associated with pilgrimage sites,0,1,2,
Uttar Pradesh,Work and Jobs,Low-skilled migrant workers,1,1,1,4.00
Uttar Pradesh,Work and Jobs,Poor infrastructure,1,1,1,4.00
Uttar Pradesh,Work and Jobs,Primarily agriculture,1,1,1,4.00
Uttar Pradesh,Work and Jobs,Religious tourism,0,1,2,
Uttar Pradesh,Work and Jobs,Underdeveloped roads,1,1,1,4.00
Uttar Pradesh,Work and Jobs,economically challenged,0,1,2,
Uttar Pradesh,Work and Jobs,farming,1,1,1,4.00
Uttar Pradesh,Work and Jobs,inefficient bureaucracy,1,1,1,4.00
Uttar Pradesh,Work and Jobs,limited healthcare,1,1,1,4.00
Uttar Pradesh,Work and Jobs,manual labor,1,1,1,4.00
